num_records,cores,executor_memory_gb,partitions,partition_efficiency,skewness,joins,cache_enabled,group_cardinality,num_aggregations,has_orderby,filter_selectivity,data_size_gb,shuffle_size_mb,shuffle_intensity,memory_pressure,execution_time
500000,1,6,6,6.0,0.4431714165572958,2,0,100,1,0,0.92,0.0466,50.0,0.0931,0.0078,2.1838
10000000,6,4,30,5.0,0.1166455932650289,3,1,20000,4,0,0.79,0.9313,1500.0,2.794,0.2328,2.8292
10000000,1,6,6,6.0,0.1298436826219397,1,0,5000,3,1,0.63,0.9313,500.0,0.9313,0.1552,7.4765
1000000,6,8,12,2.0,0.288482881692003,2,0,5000,2,1,0.82,0.0931,100.0,0.1863,0.0116,1.25
100000,4,8,20,5.0,0.3451921418456893,1,1,1000,1,1,0.67,0.0093,5.0,0.0093,0.0012,2.0157
3000000,1,2,5,5.0,0.7663734773760292,3,1,20000,2,1,0.45,0.2794,450.0,0.8382,0.1397,3.987
5000000,2,8,12,6.0,0.3523628898375718,3,1,1000,4,0,0.41,0.4657,750.0,1.397,0.0582,1.8396
5000000,1,2,3,3.0,0.5257418774464064,2,0,100,4,0,0.4,0.4657,500.0,0.9313,0.2328,3.4909
20000000,1,2,2,2.0,0.3969015782471262,2,0,1000,2,0,0.67,1.8626,2000.0,3.7253,0.9313,9.6847
20000000,1,8,5,5.0,0.5254873723615205,3,0,100,2,0,0.72,1.8626,3000.0,5.5879,0.2328,3.9727
100000,6,4,24,4.0,0.6714842279291127,2,0,5000,4,1,0.62,0.0093,10.0,0.0186,0.0023,2.2413
20000000,6,8,18,3.0,0.2893185103277135,3,1,20000,1,0,0.52,1.8626,3000.0,5.5879,0.2328,1.8943
20000000,2,2,4,2.0,0.6655743947170645,1,1,1000,1,1,0.57,1.8626,1000.0,1.8626,0.9313,0.9071
5000000,2,4,6,3.0,0.8537477036614233,2,0,1000,1,1,0.38,0.4657,500.0,0.9313,0.1164,1.2542
20000000,6,8,18,3.0,0.3610929363680432,2,0,5000,4,0,0.41,1.8626,2000.0,3.7253,0.2328,2.9168
500000,6,4,18,3.0,0.4671118043035178,2,0,100,3,0,0.72,0.0466,50.0,0.0931,0.0116,0.8462
3000000,2,2,4,2.0,0.82737729439787,3,1,20000,2,1,0.59,0.2794,450.0,0.8382,0.1397,0.7409
10000000,1,4,6,6.0,0.8096878339524695,2,1,20000,3,0,0.62,0.9313,1000.0,1.8626,0.2328,4.9314
5000000,1,6,5,5.0,0.4430774660592885,1,1,1000,4,0,0.42,0.4657,250.0,0.4657,0.0776,1.3598
100000,1,4,2,2.0,0.6230895094133497,3,1,20000,3,0,0.61,0.0093,15.0,0.0279,0.0023,1.4328
5000000,2,4,4,2.0,0.625759565969473,1,1,1000,1,1,0.41,0.4657,250.0,0.4657,0.1164,0.6926
20000000,2,6,10,5.0,0.2661608913061773,1,1,100,4,0,0.7,1.8626,1000.0,1.8626,0.3104,0.9945
3000000,6,6,12,2.0,0.2246190453035956,1,0,5000,1,0,0.47,0.2794,150.0,0.2794,0.0466,1.2674
500000,2,6,8,4.0,0.3298524467399322,1,1,20000,1,0,0.88,0.0466,25.0,0.0466,0.0078,1.1792
500000,4,6,12,3.0,0.7155163257711966,3,1,1000,3,0,0.83,0.0466,75.0,0.1397,0.0078,1.3162
3000000,1,2,2,2.0,0.3704165638753126,2,1,5000,2,1,0.31,0.2794,300.0,0.5588,0.1397,1.8495
20000000,6,8,36,6.0,0.2585423655790216,1,0,5000,4,0,0.71,1.8626,1000.0,1.8626,0.2328,4.3474
5000000,6,2,18,3.0,0.8537477036614233,2,0,1000,1,1,0.38,0.4657,500.0,0.9313,0.2328,1.9256
1000000,4,2,12,3.0,0.4897045115744514,3,1,20000,1,1,0.79,0.0931,150.0,0.2794,0.0466,1.4613
1000000,2,4,12,6.0,0.1500201429735794,3,1,5000,3,1,0.57,0.0931,150.0,0.2794,0.0233,1.7383
100000,4,4,20,5.0,0.5724881718896287,3,0,20000,4,1,0.62,0.0093,15.0,0.0279,0.0023,2.0189
20000000,2,2,4,2.0,0.8137115093136491,3,1,20000,1,0,0.86,1.8626,3000.0,5.5879,0.9313,1.0865
3000000,6,8,18,3.0,0.1056630055938258,3,1,100,3,0,0.33,0.2794,450.0,0.8382,0.0349,0.9503
3000000,4,4,8,2.0,0.3482786740795345,2,1,20000,4,0,0.99,0.2794,300.0,0.5588,0.0698,1.061
3000000,4,4,16,4.0,0.287713158439497,3,0,100,4,1,0.62,0.2794,450.0,0.8382,0.0698,1.0794
20000000,1,2,5,5.0,0.5220386075202553,3,0,20000,1,0,0.93,1.8626,3000.0,5.5879,0.9313,11.4624
5000000,1,8,6,6.0,0.2633309933563058,1,0,20000,1,1,0.64,0.4657,250.0,0.4657,0.0582,2.2144
20000000,2,8,4,2.0,0.243517019497476,1,1,1000,1,1,0.68,1.8626,1000.0,1.8626,0.2328,1.0607
20000000,4,4,20,5.0,0.4327548606644446,2,0,100,3,1,0.89,1.8626,2000.0,3.7253,0.4657,2.7554
5000000,6,8,12,2.0,0.4927218331384684,1,0,5000,3,0,0.52,0.4657,250.0,0.4657,0.0582,1.3744
1000000,4,2,12,3.0,0.5007904365715697,2,1,100,3,1,0.77,0.0931,100.0,0.1863,0.0466,0.6484
5000000,2,2,12,6.0,0.3523628898375718,3,1,1000,4,0,0.41,0.4657,750.0,1.397,0.2328,1.8128
100000,6,2,18,3.0,0.7142622030186819,3,1,5000,1,0,0.89,0.0093,15.0,0.0279,0.0047,1.6502
3000000,1,6,2,2.0,0.3704165638753126,2,1,5000,2,1,0.31,0.2794,300.0,0.5588,0.0466,0.6097
20000000,6,2,24,4.0,0.7438005632940293,1,0,20000,4,1,0.42,1.8626,1000.0,1.8626,0.9313,3.4406
500000,6,6,18,3.0,0.4055222418910639,3,1,5000,2,0,0.4,0.0466,75.0,0.1397,0.0078,1.6259
3000000,2,8,6,3.0,0.3841261612609273,1,1,1000,3,0,0.51,0.2794,150.0,0.2794,0.0349,0.93
500000,1,2,6,6.0,0.4402777379369358,2,1,1000,3,1,0.75,0.0466,50.0,0.0931,0.0233,4.5016
10000000,1,2,4,4.0,0.4276941767095406,3,0,5000,3,0,0.62,0.9313,1500.0,2.794,0.4657,8.3309
5000000,6,2,12,2.0,0.2983108710566053,3,1,5000,2,0,0.9,0.4657,750.0,1.397,0.2328,1.3531
500000,2,2,12,6.0,0.4431714165572958,2,0,100,1,0,0.92,0.0466,50.0,0.0931,0.0233,0.8492
20000000,6,8,30,5.0,0.7308576571092729,3,1,20000,1,1,0.37,1.8626,3000.0,5.5879,0.2328,2.9023
10000000,1,4,6,6.0,0.8825650149649832,2,0,20000,1,1,0.86,0.9313,1000.0,1.8626,0.2328,7.4722
500000,2,8,12,6.0,0.55017510114841,2,0,100,2,1,0.71,0.0466,50.0,0.0931,0.0058,1.0384
1000000,1,6,2,2.0,0.2832127002434669,2,0,1000,4,1,0.69,0.0931,100.0,0.1863,0.0155,1.873
20000000,1,8,2,2.0,0.7435469064821366,2,1,20000,2,1,1.0,1.8626,2000.0,3.7253,0.2328,0.9903
3000000,4,2,16,4.0,0.3871039990337539,3,1,5000,3,0,0.96,0.2794,450.0,0.8382,0.1397,1.9469
100000,2,4,4,2.0,0.1338786950237034,2,0,5000,2,0,0.84,0.0093,10.0,0.0186,0.0023,0.6313
100000,6,2,30,5.0,0.533471981773692,3,0,1000,4,1,0.71,0.0093,15.0,0.0279,0.0047,2.6812
20000000,6,8,18,3.0,0.6563410380874216,1,0,20000,4,0,0.98,1.8626,1000.0,1.8626,0.2328,2.8648
10000000,6,2,30,5.0,0.4781669898859613,3,0,20000,1,1,0.82,0.9313,1500.0,2.794,0.4657,3.5226
500000,1,8,6,6.0,0.4402777379369358,2,1,1000,3,1,0.75,0.0466,50.0,0.0931,0.0058,1.462
5000000,4,6,8,2.0,0.2983108710566053,3,1,5000,2,0,0.9,0.4657,750.0,1.397,0.0776,0.9521
20000000,6,4,12,2.0,0.7435469064821366,2,1,20000,2,1,1.0,1.8626,2000.0,3.7253,0.4657,1.2586
10000000,4,4,8,2.0,0.3268704468850004,1,1,5000,2,1,0.65,0.9313,500.0,0.9313,0.2328,1.0244
3000000,2,6,6,3.0,0.516016391169858,3,0,20000,2,1,0.32,0.2794,450.0,0.8382,0.0466,1.2767
20000000,6,8,12,2.0,0.5884997636990537,1,1,5000,2,0,0.55,1.8626,1000.0,1.8626,0.2328,1.3338
5000000,1,6,6,6.0,0.6140273401069496,2,1,20000,2,1,0.59,0.4657,500.0,0.9313,0.0776,1.7388
1000000,2,8,8,4.0,0.4579619685170459,3,0,20000,3,0,0.64,0.0931,150.0,0.2794,0.0116,1.4336
20000000,1,2,6,6.0,0.5478047311991237,2,1,20000,2,0,0.56,1.8626,2000.0,3.7253,0.9313,6.073
5000000,2,4,12,6.0,0.7825648062833461,1,1,20000,3,1,0.81,0.4657,250.0,0.4657,0.1164,1.8399
1000000,6,2,24,4.0,0.4579619685170459,3,0,20000,3,0,0.64,0.0931,150.0,0.2794,0.0466,2.5307
3000000,6,4,30,5.0,0.7357188571789336,3,0,20000,3,0,0.68,0.2794,450.0,0.8382,0.0698,2.9517
3000000,1,2,5,5.0,0.7845563069949968,2,0,5000,1,1,0.46,0.2794,300.0,0.5588,0.1397,5.2262
5000000,1,8,4,4.0,0.6590238100606923,1,1,1000,3,1,0.46,0.4657,250.0,0.4657,0.0582,1.085
100000,6,2,18,3.0,0.2348496005043689,2,1,1000,4,1,0.97,0.0093,10.0,0.0186,0.0047,1.5792
20000000,6,6,12,2.0,0.4954797978401303,3,1,100,3,0,0.42,1.8626,3000.0,5.5879,0.3104,0.7496
10000000,2,4,4,2.0,0.3964969247300042,3,1,20000,2,1,0.69,0.9313,1500.0,2.794,0.2328,0.9151
20000000,1,4,4,4.0,0.7438005632940293,1,0,20000,4,1,0.42,1.8626,1000.0,1.8626,0.4657,9.9424
1000000,2,6,10,5.0,0.5386042476042315,1,0,5000,3,0,0.52,0.0931,50.0,0.0931,0.0155,1.5215
20000000,4,8,12,3.0,0.3610929363680432,2,0,5000,4,0,0.41,1.8626,2000.0,3.7253,0.2328,2.4794
1000000,1,6,4,4.0,0.4151524635667001,3,1,5000,4,1,0.32,0.0931,150.0,0.2794,0.0155,2.7742
3000000,2,4,6,3.0,0.3841261612609273,1,1,1000,3,0,0.51,0.2794,150.0,0.2794,0.0698,0.9049
3000000,1,8,3,3.0,0.4046021056179728,3,0,1000,2,0,0.48,0.2794,450.0,0.8382,0.0349,1.252
100000,6,4,18,3.0,0.163080533177184,3,0,1000,2,0,0.54,0.0093,15.0,0.0279,0.0023,1.6331
500000,1,8,4,4.0,0.6708776002686824,2,1,20000,3,1,0.64,0.0466,50.0,0.0931,0.0058,1.0902
5000000,6,6,30,5.0,0.7716980543928428,2,1,100,2,0,0.62,0.4657,500.0,0.9313,0.0776,1.3502
500000,2,8,10,5.0,0.5958471154051418,3,1,5000,2,1,1.0,0.0466,75.0,0.1397,0.0058,1.3632
100000,4,4,24,6.0,0.2745214079845433,2,0,1000,3,1,0.43,0.0093,10.0,0.0186,0.0023,2.4893
3000000,4,6,24,6.0,0.7560668632034842,2,0,100,4,0,0.67,0.2794,300.0,0.5588,0.0466,1.471
20000000,2,4,10,5.0,0.2661608913061773,1,1,100,4,0,0.7,1.8626,1000.0,1.8626,0.4657,0.9632
10000000,4,4,16,4.0,0.4276941767095406,3,0,5000,3,0,0.62,0.9313,1500.0,2.794,0.2328,2.4588
100000,6,4,12,2.0,0.6230895094133497,3,1,20000,3,0,0.61,0.0093,15.0,0.0279,0.0023,1.1321
500000,1,8,3,3.0,0.4500026008457616,3,0,1000,4,0,0.35,0.0466,75.0,0.1397,0.0058,0.8439
100000,2,8,10,5.0,0.7568456010760832,2,0,5000,2,1,0.39,0.0093,10.0,0.0186,0.0012,1.459
10000000,2,2,4,2.0,0.855345076295677,1,0,20000,3,1,0.75,0.9313,500.0,0.9313,0.4657,1.5723
3000000,2,4,10,5.0,0.7663734773760292,3,1,20000,2,1,0.45,0.2794,450.0,0.8382,0.0698,1.5089
100000,6,6,30,5.0,0.5579358143298112,2,0,20000,1,1,0.44,0.0093,10.0,0.0186,0.0016,2.537
5000000,2,6,10,5.0,0.2460458047635489,2,1,100,4,1,0.97,0.4657,500.0,0.9313,0.0776,0.7789
20000000,1,2,2,2.0,0.5884997636990537,1,1,5000,2,0,0.55,1.8626,1000.0,1.8626,0.9313,3.6124
100000,1,4,4,4.0,0.3595275559454735,3,0,1000,3,1,0.93,0.0093,15.0,0.0279,0.0023,2.7638
100000,4,6,12,3.0,0.3942017709594156,3,0,5000,4,1,0.99,0.0093,15.0,0.0279,0.0016,1.3124
500000,4,4,16,4.0,0.6903320562194306,3,0,5000,3,0,0.93,0.0466,75.0,0.1397,0.0116,1.8517
1000000,1,2,6,6.0,0.5204830573831736,1,0,5000,4,1,0.87,0.0931,50.0,0.0931,0.0466,4.8417
500000,4,8,12,3.0,0.7579225773940357,2,1,20000,1,1,0.48,0.0466,50.0,0.0931,0.0058,1.1506
100000,1,4,3,3.0,0.163080533177184,3,0,1000,2,0,0.54,0.0093,15.0,0.0279,0.0023,2.2231
3000000,1,2,6,6.0,0.5678386773861621,2,0,20000,3,0,0.93,0.2794,300.0,0.5588,0.1397,6.302
3000000,1,2,3,3.0,0.125485771040378,3,0,5000,3,1,0.68,0.2794,450.0,0.8382,0.1397,3.6207
3000000,6,2,36,6.0,0.1998807944668474,3,1,100,2,1,0.79,0.2794,450.0,0.8382,0.1397,1.508
10000000,6,2,30,5.0,0.1313890632382868,3,1,5000,2,0,0.34,0.9313,1500.0,2.794,0.4657,2.8878
20000000,6,4,12,2.0,0.4954797978401303,3,1,100,3,0,0.42,1.8626,3000.0,5.5879,0.4657,0.7933
20000000,2,8,10,5.0,0.7308576571092729,3,1,20000,1,1,0.37,1.8626,3000.0,5.5879,0.2328,1.9661
10000000,6,6,30,5.0,0.4781669898859613,3,0,20000,1,1,0.82,0.9313,1500.0,2.794,0.1552,3.5306
5000000,2,6,10,5.0,0.5970091548985518,3,0,5000,2,1,0.44,0.4657,750.0,1.397,0.0776,2.0555
100000,2,2,10,5.0,0.7568456010760832,2,0,5000,2,1,0.39,0.0093,10.0,0.0186,0.0047,1.3803
100000,6,6,30,5.0,0.5724881718896287,3,0,20000,4,1,0.62,0.0093,15.0,0.0279,0.0016,2.5185
10000000,1,6,6,6.0,0.8096878339524695,2,1,20000,3,0,0.62,0.9313,1000.0,1.8626,0.1552,1.9288
20000000,2,2,10,5.0,0.2661608913061773,1,1,100,4,0,0.7,1.8626,1000.0,1.8626,0.9313,0.9706
3000000,1,6,4,4.0,0.5874649106405523,1,0,1000,2,0,0.51,0.2794,150.0,0.2794,0.0466,1.4886
100000,6,4,12,2.0,0.3141417329739729,2,1,100,4,1,0.54,0.0093,10.0,0.0186,0.0023,0.4841
20000000,2,6,10,5.0,0.3250093873995262,2,1,100,4,0,0.62,1.8626,2000.0,3.7253,0.3104,1.082
20000000,4,4,20,5.0,0.2661608913061773,1,1,100,4,0,0.7,1.8626,1000.0,1.8626,0.4657,1.3085
1000000,2,6,10,5.0,0.5599734534690397,1,1,100,4,1,0.81,0.0931,50.0,0.0931,0.0155,0.7066
10000000,4,8,8,2.0,0.855345076295677,1,0,20000,3,1,0.75,0.9313,500.0,0.9313,0.1164,1.5217
20000000,6,6,30,5.0,0.250126922702926,2,1,100,2,1,0.84,1.8626,2000.0,3.7253,0.3104,1.3305
5000000,4,6,12,3.0,0.148174050915622,3,1,1000,4,1,0.46,0.4657,750.0,1.397,0.0776,1.5772
3000000,2,6,4,2.0,0.1579692203804425,3,0,20000,4,1,0.91,0.2794,450.0,0.8382,0.0466,1.1563
3000000,6,8,36,6.0,0.236494282916411,2,0,1000,2,0,0.83,0.2794,300.0,0.5588,0.0349,3.2509
500000,1,6,3,3.0,0.1572049196841289,2,1,100,3,1,0.35,0.0466,50.0,0.0931,0.0078,0.4083
100000,2,4,12,6.0,0.6521039301332416,3,0,1000,4,1,0.84,0.0093,15.0,0.0279,0.0023,1.7
3000000,4,8,16,4.0,0.6239543637961594,2,0,20000,1,0,0.76,0.2794,300.0,0.5588,0.0349,2.0832
20000000,6,8,12,2.0,0.1863188757613025,2,1,100,4,0,0.61,1.8626,2000.0,3.7253,0.2328,0.8747
5000000,4,2,16,4.0,0.2384215120384351,1,1,5000,2,0,0.41,0.4657,250.0,0.4657,0.2328,1.5899
20000000,4,6,12,3.0,0.4131603934024475,1,1,100,1,0,0.74,1.8626,1000.0,1.8626,0.3104,0.8892
10000000,2,6,6,3.0,0.1919032485308422,2,1,1000,2,0,0.9,0.9313,1000.0,1.8626,0.1552,1.0711
1000000,4,4,8,2.0,0.288482881692003,2,0,5000,2,1,0.82,0.0931,100.0,0.1863,0.0233,0.9992
20000000,6,2,30,5.0,0.5254873723615205,3,0,100,2,0,0.72,1.8626,3000.0,5.5879,0.9313,2.6785
100000,6,2,36,6.0,0.3754639113738703,1,1,100,1,1,0.41,0.0093,5.0,0.0093,0.0047,1.4039
5000000,1,6,3,3.0,0.7229670287977907,3,1,20000,1,1,0.76,0.4657,750.0,1.397,0.0776,0.9942
20000000,2,6,4,2.0,0.7006838039889206,3,0,20000,1,0,0.56,1.8626,3000.0,5.5879,0.3104,2.9372
500000,4,4,12,3.0,0.7811203000123571,1,0,1000,2,0,0.81,0.0466,25.0,0.0466,0.0116,1.3065
500000,2,4,12,6.0,0.4402777379369358,2,1,1000,3,1,0.75,0.0466,50.0,0.0931,0.0116,1.7274
3000000,2,2,8,4.0,0.4340862029132081,3,0,1000,2,0,0.91,0.2794,450.0,0.8382,0.1397,1.4755
1000000,1,6,4,4.0,0.1062400355368365,3,1,5000,2,1,0.71,0.0931,150.0,0.2794,0.0155,1.0241
20000000,1,4,4,4.0,0.5820751432610399,3,0,20000,3,1,0.82,1.8626,3000.0,5.5879,0.4657,10.7618
10000000,1,4,5,5.0,0.1313890632382868,3,1,5000,2,0,0.34,0.9313,1500.0,2.794,0.2328,4.0183
10000000,4,4,20,5.0,0.4781669898859613,3,0,20000,1,1,0.82,0.9313,1500.0,2.794,0.2328,2.8383
1000000,2,2,8,4.0,0.4341529517652285,2,0,5000,1,0,0.64,0.0931,100.0,0.1863,0.0466,1.3416
3000000,4,2,16,4.0,0.4340862029132081,3,0,1000,2,0,0.91,0.2794,450.0,0.8382,0.1397,1.8902
1000000,6,4,24,4.0,0.1558668744459873,2,1,100,4,0,0.9,0.0931,100.0,0.1863,0.0233,1.0013
20000000,2,8,8,4.0,0.3759904498452361,3,1,100,2,1,0.49,1.8626,3000.0,5.5879,0.2328,1.0173
20000000,4,4,24,6.0,0.4137895374182734,2,1,5000,2,0,1.0,1.8626,2000.0,3.7253,0.4657,2.5481
