profile,default_time_sec,optimized_time_sec,improvement_pct
"500K records, very low skew, minimal aggregation",1.29,0.7,45.5
"1M records, low skew, simple query",1.22,0.85,30.2
"2M records, moderate skew, single join",1.32,0.85,35.5
"3M records, low skew, aggregation-heavy query",1.42,0.82,42.1
"5M records, moderate skew, join + orderby",1.97,0.91,53.6
"7M records, low skew, multiple joins without orderby",2.13,1.07,49.6
"8M records, high aggregation, join + orderby",2.02,0.98,51.6
"10M records, high skew, heavy join workload",2.45,1.02,58.2
"15M records, extreme skew, complex join workload",3.02,1.07,64.7
"20M records, high skew, highly selective complex query",4.7,1.2,74.4
