held_out_group,n_train,n_test,r2,mae
1core_2g,3750,250,0.9284114582384977,0.4212278223018647
1core_4g,3750,250,0.3723871817632146,1.2901948950050353
1core_6g,3750,250,0.3542216044085229,0.8125981632671355
1core_8g,3750,250,-0.2807397390928488,0.6344345093637467
2core_2g,3750,250,0.9223147122323546,0.135081657516098
2core_4g,3750,250,0.9372950526833845,0.10187707210121155
2core_6g,3750,250,0.9594224201032989,0.08751476032915116
2core_8g,3750,250,0.9528921907944639,0.10179474033727647
4core_2g,3750,250,0.9711841577342013,0.08654012025356292
4core_4g,3750,250,0.9655385339590388,0.0753982067735672
4core_6g,3750,250,0.9679177274286728,0.09396754038581846
4core_8g,3750,250,0.9121509226668256,0.1531786166996002
6core_2g,3750,250,0.9820012878821215,0.0882523966911316
6core_4g,3750,250,0.9768404250652143,0.09268002119903564
6core_6g,3750,250,0.9361486906097635,0.12260436910705566
6core_8g,3750,250,0.9156147334753744,0.15913657412986754
